Launch Latitude,Launch Longitude,Distance From Launch,Mean Latitude,Mean Longitude,Landing Latitude,Landing Longitude,Launch Angle,Launch Direction,Pressure,Temperature,Parachute Deployed,Parachute Deployment Delay,Motor Thrust Performance,Wind Altitude Step,Wind Speed Launch (Mean),Wind Speed One (Mean),Wind Speed Two (Mean),Wind Speed Three (Mean),Wind Speed Four (Mean),Wind Speed Five (Mean),Wind Speed Six (Mean),Wind Speed Seven (Mean),Wind Speed Eight (Mean),Wind Speed Nine (Mean),Wind Speed (Std Dev),Wind Direction Launch (Mean),Wind Direction One (Mean),Wind Direction Two (Mean),Wind Direction Three (Mean),Wind Direction Four (Mean),Wind Direction Five (Mean),Wind Direction Six (Mean),Wind Direction Seven (Mean),Wind Direction Eight (Mean),Wind Direction Nine (Mean),Wind Direction (Std Dev)
0.08726646259971647,0.08726646259971647,49.807,0,0,0.08727422845068557,0.08726736608960627,0.063,0.125,99421.29,22.2,true,0.579,79.956,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,42.715,0,0,0.0872597582821379,0.08726639994213839,0.063,0.125,99421.29,22.2,false,0.579,79.956,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,173.198,0,0,0.08729362513608602,0.08726758238245318,0.178,0.031,99544.776,21.216,true,1.003,83.806,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,72.716,0,0,0.0872778748455902,0.0872666385287403,0.178,0.031,99544.776,21.216,false,1.003,83.806,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,173.525,0,0,0.08729326227000275,0.08727134039820228,0.188,0.202,99171.888,20.237,true,-0.105,78.219,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,104.014,0,0,0.08728236179007572,0.08727018597488079,0.188,0.202,99171.888,20.237,false,-0.105,78.219,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,147.159,0,0,0.08724567349273828,0.08727656807833356,0.017,0.04,98569.191,18.888,true,-0.035,77.234,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,36.714,0,0,0.08726071648454603,0.08726602532754293,0.017,0.04,98569.191,18.888,false,-0.035,77.234,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,140.248,0,0,0.08728842174206673,0.08726801392019741,0.156,0.074,102531.179,19.64,true,-0.808,77.313,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,37.555,0,0,0.08727233229177578,0.08726591843636557,0.156,0.074,102531.179,19.64,false,-0.808,77.313,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,99.71,0,0,0.08728211306949482,0.08726638593665384,0.068,0.069,101147.873,19.344,true,0.49,79.19,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,10.115,0,0,0.08726804110388918,0.08726629137863165,0.068,0.069,101147.873,19.344,false,0.49,79.19,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,71.753,0,0,0.08727772487868177,0.08726650741802308,0.03,0.238,100273.275,17.578,true,-0.199,88.798,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,54.324,0,0,0.08725795295232412,0.08726700555264208,0.03,0.238,100273.275,17.578,false,-0.199,88.798,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,64.601,0,0,0.08727650073906551,0.08726790037037124,0.065,0.195,99693.348,17.671,true,0.141,83.023,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,4.667,0,0,0.08726688854264812,0.0872670607919272,0.065,0.195,99693.348,17.671,false,0.141,83.023,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,114.138,0,0,0.0872843387492179,0.08726764905360224,0.105,0.074,101095.585,20.196,true,0.696,76.89,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,43.978,0,0,0.08727332696250678,0.08726719392730928,0.105,0.074,101095.585,20.196,false,0.696,76.89,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
0.08726646259971647,0.08726646259971647,104.805,0,0,0.08728289718692234,0.0872671863326968,0.066,0.048,99549.986,21.599,true,-0.308,79.385,0.5,1,2,3,4,5,6,7,8,9,10,0.5,0,10,20,30,40,50,60,70,80,90,5
